Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Churned,AvgOrderValue,UniqueProducts,UniqueCountries,Log_Recency,Log_Frequency,Log_Monetary,Cluster,Segment,ChurnProbability,ChurnRisk
12346,326,12,77556.46,2,5,5,12,1,2281.07,27,1,5.7899601708972535,2.5649493574615367,11.258774359980725,2,Champions,0.891,High
12347,2,8,4921.53,5,4,5,14,0,22.17,126,1,1.0986122886681098,2.1972245773362196,8.501577904958904,2,Champions,0.002,Low
12348,75,5,2019.4,3,4,4,11,0,39.6,25,1,4.330733340286331,1.791759469228055,7.6110507905938976,3,At Risk,0.629,Medium
12349,19,4,4428.69,5,3,5,13,0,25.31,138,1,2.995732273553991,1.6094379124341003,8.39608488316401,1,Loyal Customers,0.021,Low
12350,310,1,334.4,2,1,2,5,1,19.67,17,1,5.739792912179234,0.6931471805599453,5.815323849389109,0,Lost Customers,0.977,High
12351,375,1,300.93,2,1,2,5,1,14.33,21,1,5.929589143389895,0.6931471805599453,5.710195202428391,0,Lost Customers,0.97,High
12352,36,10,2849.84,4,5,4,13,0,27.67,70,1,3.6109179126442243,2.3978952727983707,7.9553689666784315,2,Champions,0.043,Low
12353,204,2,406.76,2,2,2,6,1,16.95,23,1,5.3230099791384085,1.0986122886681098,6.010678766031786,0,Lost Customers,0.965,High
12354,232,1,1079.4,2,1,3,6,1,18.61,58,1,5.4510384535657,0.6931471805599453,6.985086621918461,0,Lost Customers,0.944,High
12355,214,2,947.61,2,2,3,7,1,27.07,35,1,5.3706380281276624,1.0986122886681098,6.854997755239065,3,At Risk,0.957,High
12356,23,6,6371.73,4,4,5,13,0,44.87,104,1,3.1780538303479458,1.9459101490553132,8.759783228184276,2,Champions,0.062,Low
12357,33,3,18287.66,4,3,5,12,0,61.78,261,1,3.5263605246161616,1.3862943611198906,9.814036474622236,2,Champions,0.13,Low
12358,2,5,3887.07,5,4,5,14,0,50.48,56,1,1.0986122886681098,1.791759469228055,8.265668169533484,2,Champions,0.002,Low
12359,58,10,8873.39,4,5,5,14,0,24.51,305,1,4.07753744390572,2.3978952727983707,9.090924879587071,2,Champions,0.003,Low
12360,52,8,4252.89,4,4,5,13,0,19.6,160,1,3.970291913552122,2.1972245773362196,8.355589137409874,2,Champions,0.047,Low
12361,287,4,511.25,2,3,2,7,1,17.63,18,1,5.662960480135946,1.6094379124341003,6.238812787119009,3,At Risk,0.97,High
12362,3,11,5356.23,5,5,5,15,0,20.06,201,1,1.3862943611198906,2.4849066497880004,8.586202329437555,2,Champions,0.004,Low
12363,110,2,552.0,3,2,2,7,1,24.0,23,1,4.709530201312334,1.0986122886681098,6.315358001522335,0,Lost Customers,0.634,Medium
12364,8,4,1313.1,5,3,4,12,0,15.45,70,1,2.1972245773362196,1.6094379124341003,7.180907299649593,1,Loyal Customers,0.005,Low
12365,291,2,641.38,2,2,3,7,1,29.15,22,1,5.676753802268282,1.0986122886681098,6.465180028897591,0,Lost Customers,0.945,High
12366,634,1,500.24,1,1,2,4,1,166.75,3,1,6.453624998892692,0.6931471805599453,6.217085028297085,0,Lost Customers,0.997,High
12367,4,1,168.9,5,1,1,7,0,15.35,11,1,1.6094379124341003,0.6931471805599453,5.135210028677887,1,Loyal Customers,0.011,Low
12368,628,1,917.7,1,1,3,5,1,50.98,18,1,6.444131256700441,0.6931471805599453,6.822959627277421,0,Lost Customers,0.99,High
12369,413,3,1791.15,1,3,4,8,1,19.26,90,1,6.025865973825314,1.3862943611198906,7.491171295388921,3,At Risk,0.99,High
12370,51,7,4316.56,4,4,5,13,0,21.48,168,2,3.9512437185814275,2.0794415416798357,8.370445706855367,2,Champions,0.043,Low
12371,45,5,4067.38,4,4,5,13,0,24.36,134,1,3.828641396489095,1.791759469228055,8.31100016480189,3,At Risk,0.049,Low
12372,72,3,1298.04,3,3,4,10,0,24.96,34,1,4.290459441148391,1.3862943611198906,7.169380809114136,3,At Risk,0.535,Medium
12373,311,3,1127.65,2,3,3,8,1,22.11,36,1,5.7430031878094825,1.3862943611198906,7.028777507229587,3,At Risk,0.969,High
