Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Churned,AvgOrderValue,UniqueProducts,UniqueCountries
12346,326,12,77556.46,2,5,5,12,1,2281.07,27,1
12347,2,8,4921.53,5,4,5,14,0,22.17,126,1
12348,75,5,2019.4,3,4,4,11,0,39.6,25,1
12349,19,4,4428.69,5,3,5,13,0,25.31,138,1
12350,310,1,334.4,2,1,2,5,1,19.67,17,1
12351,375,1,300.93,2,1,2,5,1,14.33,21,1
12352,36,10,2849.84,4,5,4,13,0,27.67,70,1
12353,204,2,406.76,2,2,2,6,1,16.95,23,1
12354,232,1,1079.4,2,1,3,6,1,18.61,58,1
12355,214,2,947.61,2,2,3,7,1,27.07,35,1
12356,23,6,6371.73,4,4,5,13,0,44.87,104,1
12357,33,3,18287.66,4,3,5,12,0,61.78,261,1
12358,2,5,3887.07,5,4,5,14,0,50.48,56,1
12359,58,10,8873.39,4,5,5,14,0,24.51,305,1
12360,52,8,4252.89,4,4,5,13,0,19.6,160,1
12361,287,4,511.25,2,3,2,7,1,17.63,18,1
12362,3,11,5356.23,5,5,5,15,0,20.06,201,1
12363,110,2,552.0,3,2,2,7,1,24.0,23,1
12364,8,4,1313.1,5,3,4,12,0,15.45,70,1
12365,291,2,641.38,2,2,3,7,1,29.15,22,1
12366,634,1,500.24,1,1,2,4,1,166.75,3,1
12367,4,1,168.9,5,1,1,7,0,15.35,11,1
12368,628,1,917.7,1,1,3,5,1,50.98,18,1
12369,413,3,1791.15,1,3,4,8,1,19.26,90,1
12370,51,7,4316.56,4,4,5,13,0,21.48,168,2
12371,45,5,4067.38,4,4,5,13,0,24.36,134,1
12372,72,3,1298.04,3,3,4,10,0,24.96,34,1
12373,311,3,1127.65,2,3,3,8,1,22.11,36,1
12374,25,4,2989.22,4,3,5,12,0,36.01,79,1
12375,11,2,457.5,5,2,2,9,0,26.91,14,1
12376,390,2,503.15,2,2,2,6,1,38.7,11,1
12377,315,4,3426.32,2,3,5,10,1,22.54,129,1
12378,130,2,5416.32,3,2,5,10,1,17.99,281,1
12379,82,4,1620.22,3,3,4,10,0,20.0,58,1
12380,22,11,9676.3,4,5,5,14,0,34.93,156,1
12381,5,5,1845.31,5,4,4,13,0,21.21,70,1
12383,185,5,1850.56,3,4,4,11,1,18.69,84,1
12384,29,2,585.27,4,2,2,8,0,21.68,26,1
12385,379,1,1938.4,2,1,4,7,1,29.82,65,1
12386,338,2,401.9,2,2,2,6,1,40.19,10,1
12387,415,1,143.94,1,1,1,3,1,15.99,9,1
12388,16,8,3901.11,5,4,5,14,0,26.72,83,1
12389,403,3,1433.33,2,3,4,9,1,29.25,41,1
12390,80,1,549.84,3,1,2,6,0,17.18,32,1
12391,22,6,2724.84,4,4,4,12,0,10.21,241,1
12392,591,1,234.75,1,1,1,3,1,33.54,7,1
12393,72,6,2399.45,3,4,4,11,0,22.42,63,1
12394,64,2,1272.48,3,2,4,9,0,47.13,26,2
12395,19,15,4721.17,5,5,5,15,0,19.51,145,1
12396,674,1,931.43,1,1,3,5,1,14.33,65,1
12397,36,2,2409.9,4,2,4,10,0,19.13,110,1
12398,46,1,1635.66,4,1,4,9,0,19.24,85,1
12399,119,7,1962.3,3,4,4,11,1,17.84,67,1
12400,414,1,205.25,1,1,1,3,1,18.66,11,1
12401,303,1,84.3,2,1,1,4,1,16.86,5,1
12402,323,6,1256.9,2,4,4,10,1,17.96,43,1
